"Device: USB-2408-2AO"
"Serial Number: 2060DB1"
"Channel Count: 2"
"Sample Count: 192"
"Start Time: 7/20/2026 3:55:25.3 PM"
"Scan Rate: 10"
"Sample","Time (s)","AI0 (°C)","AI1 (°C)"
"151","15.1","142.898","56.476"
"152","15.2","142.735","56.590"
"153","15.3","143.262","56.699"
"154","15.4","143.212","56.773"
"155","15.5","143.604","56.836"
"156","15.6","143.295","56.886"
"157","15.7","143.245","57.050"
"158","15.8","142.574","57.061"
"159","15.9","142.632","57.146"
"160","16.0","142.508","57.234"
"161","16.1","142.175","57.291"
"162","16.2","142.239","57.376"
"163","16.3","142.298","57.426"
"164","16.4","142.608","57.454"
"165","16.5","142.296","57.633"
"166","16.6","142.382","57.780"
"167","16.7","142.503","57.859"
"168","16.8","142.827","57.958"
"169","16.9","142.457","58.108"
"170","17.0","142.676","58.259"
"171","17.1","142.811","58.405"
"172","17.2","142.324","58.491"
"173","17.3","142.389","58.556"
"174","17.4","142.234","58.681"
"175","17.5","142.328","58.890"
"176","17.6","142.300","59.123"
"177","17.7","142.367","59.269"
"178","17.8","142.146","59.379"
"179","17.9","142.589","59.535"
"180","18.0","142.446","59.619"
"181","18.1","142.522","59.773"
"182","18.2","142.803","59.904"
"183","18.3","142.716","60.014"
"184","18.4","142.900","60.084"
"185","18.5","143.023","60.311"
"186","18.6","143.078","60.333"
"187","18.7","143.136","60.408"
"188","18.8","143.202","60.491"
"189","18.9","143.499","60.561"
"190","19.0","143.504","60.640"
"191","19.1","132.831","59.904"
